FileName;Group;PM_Subset;Treatment;ShortName
GSM3557819_A3849_01.CEL;SPM.Control;SPM;Control;SPM.Control.1GSM3557820_A3849_02.CEL;SPM.LPS;SPM;LPS;SPM.LPS.1GSM3557821_A3849_03.CEL;LPM.Control;LPM;Control;LPM.Control.1GSM3557822_A3849_04.CEL;LPM.LPS;LPM;LPS;LPM.LPS.1GSM3557823_A3849_05.CEL;SPM.Control;SPM;Control;SPM.Control.2
GSM3557824_A3849_06.CEL;SPM.LPS;SPM;LPS;SPM.LPS.2
GSM3557825_A3849_07.CEL;LPM.Control;LPM;Control;LPM.Control.2
GSM3557826_A3849_08.CEL;LPM.LPS;LPM;LPS;LPM.LPS.2GSM3557827_A3849_09.CEL;SPM.Control;SPM;Control;SPM.Control.3
GSM3557828_A3849_10.CEL;SPM.LPS;SPM;LPS;SPM.LPS.3
GSM3557829_A3849_11.CEL;LPM.Control;LPM;Control;LPM.Control.3
GSM3557830_A3849_12.CEL;LPM.LPS;LPM;LPS;LPM.LPS.3
GSM3557831_A3849_13.CEL;SPM.Control;SPM;Control;SPM.Control.4
GSM3557832_A3849_14.CEL;SPM.LPS;SPM;LPS;SPM.LPS.4
GSM3557833_A3849_15.CEL;LPM.Control;LPM;Control;LPM.Control.4GSM3557834_A3849_16.CEL;LPM.LPS;LPM;LPS;LPM.LPS.4
